what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1567426280654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567426281310
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567426955272
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567426957071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567427183990
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1567427189622
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1567427189778
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1567427192414
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1567427199419
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1567427222788
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1567427224301
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1567427234066
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1567427238778
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567427321739
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567427322456
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567427322846
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567427331613
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567427408678
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567427412063
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567427413841
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567427416119
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567427512714
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567427689807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567427856337
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567427869706
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567427872826
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567427875135
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1567427875385
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567427875556
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1567427875977
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1567427876227
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1567427876243
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1567427876243
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1567427876243
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1567427876243
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1567427876243
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1567427876258
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1567427876258
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1567427876258
